,Product_Name,Prices,Ratings,No.Of.Ratings&Reviews
0,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,499",4.4,"46,482 Ratings & 2,292 Reviews"
1,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹9,499",4.4,"46,482 Ratings & 2,292 Reviews"
2,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,499",4.4,"46,482 Ratings & 2,292 Reviews"
3,IAIR D10,"₹1,049",3.9,40 Ratings & 21 Reviews
4,"REDMI 10 (Midnight Black, 64 GB)","₹8,999",4.3,"98,464 Ratings & 6,222 Reviews"
5,"REDMI 10 (Caribbean Green, 64 GB)","₹8,999",4.3,"98,464 Ratings & 6,222 Reviews"
6,"realme C33 (Sandy Gold, 64 GB)","₹9,999",4.5,"24,473 Ratings & 873 Reviews"
7,PHILIPS Xenium E172,"₹1,699",3.6,16 Ratings & 2 Reviews
8,"realme C33 (Night Sea, 64 GB)","₹9,999",4.5,"24,473 Ratings & 873 Reviews"
9,"POCO C31 (Royal Blue, 64 GB)","₹7,749",4.3,"1,34,535 Ratings & 8,345 Reviews"
10,IAIR D41,"₹1,319",3.3,25 Ratings & 7 Reviews
11,IAIR D40,"₹1,319",3.9,22 Ratings & 13 Reviews
12,"POCO C31 (Shadow Gray, 64 GB)","₹7,749",4.3,"1,34,535 Ratings & 8,345 Reviews"
13,"Infinix Note 12 (Jewel Blue, 64 GB)","₹9,999",4.3,"13,955 Ratings & 1,423 Reviews"
14,"Infinix Note 12 (Force Black, 64 GB)","₹9,999",4.3,"13,955 Ratings & 1,423 Reviews"
15,"REDMI 10A (Sea Blue, 32 GB)","₹7,389",4.3,184 Ratings & 16 Reviews
16,IAIR D24,"₹1,128",3.8,81 Ratings & 26 Reviews
17,PHILIPS E125,"₹1,349",3.5,167 Ratings & 15 Reviews
18,"realme C31 (Dark Green, 32 GB)","₹9,299",4.5,"40,429 Ratings & 1,544 Reviews"
19,"realme C31 (Dark Green, 64 GB)","₹9,999",4.4,"42,888 Ratings & 2,058 Reviews"
20,PHILIPS E102A,"₹1,199",3.8,501 Ratings & 70 Reviews
21,"realme C31 (Light Silver, 32 GB)","₹9,299",4.5,"40,429 Ratings & 1,544 Reviews"
22,"REDMI 10A (Charcoal Black, 64 GB)","₹8,590",4.2,"2,972 Ratings & 212 Reviews"
23,"REDMI 10A (Slate grey, 64 GB)","₹8,464",4.2,"2,972 Ratings & 212 Reviews"
