,Product_Name,Prices,Ratings,No.Of.Ratings&Reviews
0,"REDMI 10 (Caribbean Green, 64 GB)","₹9,499",4.3,"1,55,190 Ratings & 10,183 Reviews"
1,"REDMI 10 (Midnight Black, 64 GB)","₹9,499",4.3,"1,55,190 Ratings & 10,183 Reviews"
2,"MOTOROLA G32 (Mineral Gray, 64 GB)","₹9,999",4.2,"11,742 Ratings & 1,142 Reviews"
3,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,499",4.4,"1,01,667 Ratings & 5,638 Reviews"
4,"MOTOROLA G32 (Satin Silver, 64 GB)","₹9,999",4.2,"11,742 Ratings & 1,142 Reviews"
5,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,499",4.4,"1,01,667 Ratings & 5,638 Reviews"
6,"realme C31 (Light Silver, 64 GB)","₹9,499",4.4,"53,687 Ratings & 2,549 Reviews"
7,"realme C31 (Dark Green, 64 GB)","₹9,499",4.4,"53,687 Ratings & 2,549 Reviews"
8,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹9,499",4.4,"1,01,667 Ratings & 5,638 Reviews"
9,"realme C33 (Aqua Blue, 64 GB)","₹9,999",4.5,"48,995 Ratings & 2,074 Reviews"
10,"realme C33 (Sandy Gold, 64 GB)","₹9,999",4.5,"48,995 Ratings & 2,074 Reviews"
11,"realme C33 (Night Sea, 64 GB)","₹9,999",4.5,"48,995 Ratings & 2,074 Reviews"
12,"Infinix Note 12 (Force Black, 64 GB)","₹9,999",4.2,"20,877 Ratings & 2,116 Reviews"
13,"Infinix Note 12 (Jewel Blue, 64 GB)","₹9,999",4.2,"20,877 Ratings & 2,116 Reviews"
14,"REDMI 9 Activ (Coral Green, 64 GB)","₹8,409",4.2,"8,396 Ratings & 611 Reviews"
15,"REDMI 10A (Sea Blue, 64 GB)","₹8,194",4.1,"6,435 Ratings & 411 Reviews"
16,"Infinix Hot 11S (Polar Black, 128 GB)","₹9,999",4.3,"47,283 Ratings & 5,070 Reviews"
17,"Infinix Hot 11S (Green Wave, 128 GB)","₹9,999",4.3,"47,283 Ratings & 5,070 Reviews"
18,"REDMI 9 Activ (Metallic Purple, 64 GB)","₹8,264",4.2,"8,396 Ratings & 611 Reviews"
19,"REDMI 9 Activ (Carbon Black, 64 GB)","₹8,113",4.2,"8,396 Ratings & 611 Reviews"
20,"MOTOROLA g22 (Iceberg Blue, 64 GB)","₹9,999",3.7,"25,743 Ratings & 3,103 Reviews"
21,"Infinix Hot 11S (Silver Wave, 128 GB)","₹9,999",4.3,"47,283 Ratings & 5,070 Reviews"
22,"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)","₹9,499",4.2,"4,904 Ratings & 286 Reviews"
23,"REDMI 10A (Slate grey, 64 GB)","₹8,154",4.1,"6,435 Ratings & 411 Reviews"
