,Movie_Name,Movie_Language,Movie_Genre
0,Ponniyin Selvan (U/A) - Part One - Tamil,TAMIL,U/A
1,Naane Varuvean (U/A) - Tamil,TAMIL,U/A
2,Kantara (U/A) - Kannada,KANNADA,U/A
3,Rorschach - Malayalam,MALAYALAM,U/A
4,The Ghost (U/A) - Telugu,TELUGU,U/A
5,One Piece Film Red (U) -  Japanese,JAPANESE,U
6,Pistha - Tamil,TAMIL,U
7,Vikram Vedha (U/A) - Hindi,HINDI,U/A
8,Goodbye (U) - Hindi,HINDI,U
9,Ponniyin Selvan (U/A) - Part one - Hindi,HINDI,U/A
10,The Ghost (U/A) - Tamil,TAMIL,U/A
11,Vendhu Thanindhathu Kaadu (U/A)- Tamil,TAMIL,U/A
12,Trigger (U/A) - Tamil,TAMIL,U/A
13,Swathimuthyam - Telugu,TELUGU,TBA
14,Brahmastra (U)  - Hindi (3D),HINDI,U
15,Ticket to Paradise (U/A) - English,ENGLISH,U/A
16,Fatichar (U) - Nepali,NEPALI,U
17,Ree (U/A) - Tamil,TAMIL,U/A
18,Hindutva (U/A) - Hindi,HINDI,U/A
19,Thiruchitrambalam - Tamil,TAMIL,U/A
20,Everything Everywhere All at Once (A) - English,ENGLISH,A
21,Brahmastra (U) - Tamil 3D,TAMIL,U
22,Vinnaithaandi Varuvaayaa (U/A) - Tamil ,TAMIL,U/A
23,Ilamai Enum Poongatru,TAMIL,TBA
24,Monster - Malayalam,TAMIL,TBA
25,Prince,TAMIL,TBA
26,Sardar,TAMIL,TBA
27,Kaalangalil Aval Vasantham,TAMIL,TBA
28,Doctor G,HINDI,U/A
29,Mera Naam Joker,HINDI,U
30,Code Name - Tiranga,HINDI,U/A
31,Kantara,HINDI,U/A
32,Twenty 20 World Cup 2022 India Vs Pakistan,HINDI,U/A
33,Drishyam 2,HINDI,U/A
34,Black Adam,ENGLISH,TBA
35,18 Pages,TELUGU,U/A
36,Geetha,TELUGU,U
37,Kantara,TELUGU,U/A
38,Vichithram,MALAYALAM,U/A
39,Romancham,MALAYALAM,U
40,Madhav,GUJARATHI,U/A
