,Movie_Name,Movie_Language,Movie_Genre
0,Avatar The Way of Water - English 3D,ENGLISH,U/A
1,Avatar The Way of Water - Tamil 3D,TAMIL,U/A
2,Gatta Kusthi (U) - Tamil,TAMIL,U
3,Avatar The Way of Water - Tamil,TAMIL,U/A
4,Naai Sekar Returns - Tamil,TAMIL,U
5,Cirkus - Hindi,HINDI,TBA
6,Avatar The Way of Water - English,ENGLISH,U/A
7,Connect (U/A) - Tamil,TAMIL,U/A
8,Love Today - Tamil,TAMIL,U/A
9,Baba (U) -Tamil,TAMIL,U
10,Avatar The Way of Water - English IMAX 3D,ENGLISHIMAX,U/A
11,Avatar The Way Of Water - Hindi 3D,HINDI,U/A
12,Varalaru Mukkiyam - Tamil,TAMIL,U/A
13,Laththi - Tamil,TAMIL,U/A
14,Avatar The Way of Water - Telugu 3D,TELUGU,U/A
15,181 (A) - Tamil,TAMIL,A
16,Avatar The Way of Water - Telugu,TELUGU,U/A
17,Avatar The Way Of Water - Hindi,HINDI,U/A
18,Drishyam 2  - Hindi,HINDI,U/A
19,Kalaga Thalaivan - Tamil,TAMIL,U/A
20,Camera Error (A) - Tamil,TAMIL,A
21,Katchikaaran - Tamil,TAMIL,TBA
22,Uunchai (U) - Hindi,HINDI,U
23,Bhediya (U) - Hindi 3D,HINDI,U
24,Hit The 2nd Case - Telugu,TELUGU,A
25,Magalir Maanbu (U/A) - Tamil,TAMIL,U/A
26,Kaapa - Malayalam,MALAYALAM,TBA
27,Salaam Venky - Hindi,HINDI,U
28,Black Panther - Wakanda Forever  - English 3D,ENGLISH,U/A
29,An Action Hero - Hindi,HINDI,U/A
30,Masooda - Telugu,TELUGU,TBA
31,Fall -English,ENGLISH,TBA
32,Vinnaithaandi Varuvaayaa (U/A) - Tamil,TAMIL,U/A
33,kantara (U/A) - Tamil,TAMIL,U/A
34,Nanban(U) - Tamil,TAMIL,U
35,Connect,TAMIL,U/A
36,Laththi - Tamil,TAMIL,U/A
37,Project C (Chapter 2),TAMIL,TBA
38,JASPER,TAMIL,U/A
39,Enjoy,TAMIL,A
40,Kodai,TAMIL,U
41,ONKARAM - Tami,TAMIL,U/A
42,Varisu,TAMIL,TBA
43,Thunivu - Tamil,TAMIL,TBA
44,Cirkus - Hindi,HINDI,TBA
45,Pathaan,HINDI,TBA
46,Laatti,TELUGU,TBA
47,Connect,TELUGU,U/A
48,Dhamaka,TELUGU,U/A
49,Veera Simha Reddy,TELUGU,TBA
50,Kaapa - Malayalam,MALAYALAM,TBA
51,JASPER,MALAYALAM,U/A
52,Oh Meri Laila,MALAYALAM,U
53,Naalam Mura,MALAYALAM,U/A
54,Naalam Mura - Tamil,MALAYALAM,TBA
55,Poovan,MALAYALAM,TBA
56,Kabzaa - Kannada,KANNADA,TBA
57,Vedha - Kannada,KANNADA,TBA
58,Vasanthi Nalidaga,KANNADA,U/A
